date,count
2001-01-01,32
2001-01-02,16
2001-01-03,18
2001-01-04,21
2001-01-05,15
2001-01-06,28
2001-01-07,17
2001-01-08,20
2001-01-09,17
2001-01-10,12
2001-01-11,25
2001-01-12,23
2001-01-13,22
2001-01-14,28
2001-01-15,21
2001-01-16,28
2001-01-17,27
2001-01-18,15
2001-01-19,25
2001-01-20,27
2001-01-21,18
2001-01-22,25
2001-01-23,11
2001-01-24,23
2001-01-25,16
2001-01-26,19
2001-01-27,12
2001-01-28,9
2001-01-29,18
2001-01-30,16
2001-01-31,21
2001-02-01,28
2001-02-02,24
2001-02-03,19
2001-02-04,19
2001-02-05,26
2001-02-06,16
2001-02-07,25
2001-02-08,14
2001-02-09,16
2001-02-10,13
2001-02-11,14
2001-02-12,22
2001-02-13,18
2001-02-14,15
2001-02-15,23
2001-02-16,28
2001-02-17,12
2001-02-18,14
2001-02-19,20
2001-02-20,21
2001-02-21,18
2001-02-22,19
2001-02-23,23
2001-02-24,28
2001-02-25,10
2001-02-26,21
2001-02-27,19
2001-02-28,21
2001-03-01,19
2001-03-02,23
2001-03-03,21
2001-03-04,18
2001-03-05,17
2001-03-06,27
2001-03-07,25
2001-03-08,32
2001-03-09,27
2001-03-10,18
2001-03-11,9
2001-03-12,31
2001-03-13,19
2001-03-14,29
2001-03-15,17
2001-03-16,19
2001-03-17,25
2001-03-18,27
2001-03-19,25
2001-03-20,20
2001-03-21,32
2001-03-22,26
2001-03-23,23
2001-03-24,24
2001-03-25,24
2001-03-26,35
2001-03-27,22
2001-03-28,24
2001-03-29,21
2001-03-30,29
2001-03-31,17
2001-04-01,23
2001-04-02,31
2001-04-03,27
2001-04-04,29
2001-04-05,28
2001-04-06,27
2001-04-07,29
2001-04-08,35
2001-04-09,23
2001-04-10,32
2001-04-11,29
2001-04-12,23
2001-04-13,31
2001-04-14,31
2001-04-15,25
2001-04-16,30
2001-04-17,29
2001-04-18,21
2001-04-19,22
2001-04-20,23
2001-04-21,14
2001-04-22,25
2001-04-23,27
2001-04-24,34
2001-04-25,22
2001-04-26,32
2001-04-27,27
2001-04-28,24
2001-04-29,16
2001-04-30,27
2001-05-01,37
2001-05-02,27
2001-05-03,26
2001-05-04,31
2001-05-05,23
2001-05-06,25
2001-05-07,24
2001-05-08,25
2001-05-09,25
2001-05-10,21
2001-05-11,28
2001-05-12,31
2001-05-13,17
2001-05-14,32
2001-05-15,20
2001-05-16,18
2001-05-17,33
2001-05-18,21
2001-05-19,24
2001-05-20,18
2001-05-21,22
2001-05-22,24
2001-05-23,24
2001-05-24,13
2001-05-25,17
2001-05-26,22
2001-05-27,25
2001-05-28,16
2001-05-29,23
2001-05-30,23
2001-05-31,21
2001-06-01,37
2001-06-02,33
2001-06-03,25
2001-06-04,20
2001-06-05,17
2001-06-06,18
2001-06-07,29
2001-06-08,36
2001-06-09,22
2001-06-10,24
2001-06-11,21
2001-06-12,9
2001-06-13,16
2001-06-14,27
2001-06-15,32
2001-06-16,22
2001-06-17,24
2001-06-18,23
2001-06-19,24
2001-06-20,29
2001-06-21,26
2001-06-22,28
2001-06-23,24
2001-06-24,22
2001-06-25,33
2001-06-26,36
2001-06-27,25
2001-06-28,27
2001-06-29,25
2001-06-30,21
2001-07-01,30
2001-07-02,28
2001-07-03,20
2001-07-04,20
2001-07-05,20
2001-07-06,9
2001-07-07,21
2001-07-08,27
2001-07-09,35
2001-07-10,27
2001-07-11,14
2001-07-12,24
2001-07-13,24
2001-07-14,23
2001-07-15,25
2001-07-16,24
2001-07-17,12
2001-07-18,21
2001-07-19,25
2001-07-20,19
2001-07-21,19
2001-07-22,22
2001-07-23,21
2001-07-24,21
2001-07-25,21
2001-07-26,19
2001-07-27,21
2001-07-28,25
2001-07-29,30
2001-07-30,23
2001-07-31,15
2001-08-01,22
2001-08-02,19
2001-08-03,32
2001-08-04,20
2001-08-05,29
2001-08-06,19
2001-08-07,27
2001-08-08,18
2001-08-09,20
2001-08-10,27
2001-08-11,21
2001-08-12,24
2001-08-13,26
2001-08-14,21
2001-08-15,29
2001-08-16,14
2001-08-17,24
2001-08-18,24
2001-08-19,22
2001-08-20,28
2001-08-21,23
2001-08-22,24
2001-08-23,24
2001-08-24,20
2001-08-25,22
2001-08-26,26
2001-08-27,27
2001-08-28,18
2001-08-29,26
2001-08-30,14
2001-08-31,21
2001-09-01,23
2001-09-02,22
2001-09-03,18
2001-09-04,28
2001-09-05,17
2001-09-06,26
2001-09-07,24
2001-09-08,24
2001-09-09,28
2001-09-10,29
2001-09-11,147
2001-09-12,178
2001-09-13,150
2001-09-14,145
2001-09-15,121
2001-09-16,101
2001-09-17,120
2001-09-18,99
2001-09-19,67
2001-09-20,72
2001-09-21,81
2001-09-22,62
2001-09-23,60
2001-09-24,43
2001-09-25,44
2001-09-26,46
2001-09-27,44
2001-09-28,65
2001-09-29,41
2001-09-30,40
2001-10-01,38
2001-10-02,42
2001-10-03,54
2001-10-04,47
2001-10-05,38
2001-10-06,39
2001-10-07,37
2001-10-08,46
2001-10-09,35
2001-10-10,28
2001-10-11,49
2001-10-12,39
2001-10-13,42
2001-10-14,28
2001-10-15,31
2001-10-16,35
2001-10-17,28
2001-10-18,19
2001-10-19,21
2001-10-20,28
2001-10-21,26
2001-10-22,28
2001-10-23,25
2001-10-24,38
2001-10-25,14
2001-10-26,27
2001-10-27,28
2001-10-28,25
2001-10-29,35
2001-10-30,27
2001-10-31,50
2001-11-01,42
2001-11-02,25
2001-11-03,23
2001-11-04,19
2001-11-05,27
2001-11-06,25
2001-11-07,19
2001-11-08,22
2001-11-09,25
2001-11-10,20
2001-11-11,23
2001-11-12,20
2001-11-13,23
2001-11-14,26
2001-11-15,13
2001-11-16,18
2001-11-17,26
2001-11-18,15
2001-11-19,16
2001-11-20,15
2001-11-21,18
2001-11-22,14
2001-11-23,20
2001-11-24,14
2001-11-25,10
2001-11-26,16
2001-11-27,16
2001-11-28,27
2001-11-29,18
2001-11-30,26
2001-12-01,20
2001-12-02,20
2001-12-03,28
2001-12-04,20
2001-12-05,24
2001-12-06,22
2001-12-07,28
2001-12-08,21
2001-12-09,10
2001-12-10,17
2001-12-11,11
2001-12-12,27
2001-12-13,22
2001-12-14,22
2001-12-15,22
2001-12-16,14
2001-12-17,18
2001-12-18,24
2001-12-19,17
2001-12-20,11
2001-12-21,17
2001-12-22,10
2001-12-23,13
2001-12-24,7
2001-12-25,5
2001-12-26,6
2001-12-27,8
2001-12-28,13
2001-12-29,15
2001-12-30,9
2001-12-31,9
